sno,hid,hname,state,city,address,zipcode,statecode
0001,HAP0001,A.N. Beach Hospital,Andhra Pradesh,Vizag,"15-9-13/24, Krishna Nagar,Near Beach Road, Visakhapatnam, Andhra Pradesh",530002,AP
0002,HAP0002,Aarif Nursing Home,Andhra Pradesh,Vizag,"Lakshmi Street,Near Income Tax Office",530020,AP
0003,HAP0003,Aasha Hospitals,Andhra Pradesh,Ananthapur,"7-201,Court Road,Anantapur",515001,AP
0004,HAP0004,Aayushman The Family Hospital,Andhra Pradesh,Kurnool,"D.No.45/145A1,Venkataramana Colony",518003,AP
0005,HAP0005,Abc Hospitals,Andhra Pradesh,Visakhapatnam,"#16-1-13, Kgh To Beach Down, Opp. Coastal Battery, Maharanipeta, Visakhapatnam, Visakha, Andhrapradesh-530002",530002,AP
0006,HAP0006,Abhaya Critical Care,Andhra Pradesh,Vizag,"18-1-34, Opp. K.G.H. Gatemaharanipeta,",530002,AP
0007,HAP0007,Abhaya Emergency Centre Sri Hospitals,Andhra Pradesh,Rajamundry,"79-1-4/1, J.N. Road",533103,AP
0008,HAP0008,Abhaya- Bbc Children Hospital,Andhra Pradesh,Hyderabad,"Hindi Maha Vidyalaya Complex, O.U. Road, Vidya Nagar.",500044,AP
0009,HAP0009,Abhi Sai Hospitals,Andhra Pradesh,Miryalaguda,"Doctor'S Colony,Miryalguda",508207,AP
0010,HAP0010,Abhiram Institute Of Medical Sciences,Andhra Pradesh,Nellore,"Opp Aps Rtc Depot, Atmakur, Nellore",524322,AP
0011,HAP0011,Adarsh Hospital,Andhra Pradesh,Eastgodavari,"86-26-5, V.L. Puram Jn, M.S. Narayana Street, Rajahmundry-533107",533103,AP
0012,HAP0012,Adarsha Nethralayam,Andhra Pradesh,Warangal,"9-5-53, Mandibazar, Warangal, A.P",506002,AP
0013,HAP0013,Adavally Damodar Reddy Memorial Hospital,Andhra Pradesh,Himayatnagar,"3-97, Sharadanagar, Ramanthapur,Ranfa Reddy.",500013,AP
0014,HAP0014,Adilakshmi Nursing Home,Andhra Pradesh,Guntur,"G.B.C. Raod, Ponnur.",522124,AP
0015,HAP0015,Aditya Hospital,Andhra Pradesh,Hyderabad,"#4-1-16, Boggulakunta, Tilak Road, Adids, Hyderbad-500001Abids",500001,AP
0016,HAP0016,Aditya Multi Care Hospital,Andhra Pradesh,Visakhapatnam,"18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex, Vishkhapatnam-530002",530002,AP
0017,HAP0017,Aditya Multispeciality Hospital,Andhra Pradesh,Warangal,"Opp: Police Parade Grounds,Hanamkanda,Kishanpura.",506001,AP
0018,HAP0018,Aditya Nursing Home,Andhra Pradesh,Kurnool,"No.1/541-135,Aas College Road,Adoni,",518302,AP
0019,HAP0019,Adr Hospital,Andhra Pradesh,Hyderabad,"H.No. 4-112/1, Anand Bagh, Malkajgiri, Hyderabad-500047",500047,AP
0020,HAP0020,Ahalya Nursing Home,Andhra Pradesh,Guntur,"Back Side Sivaayam Temple, Kothapet, Guntur, Andhra Pradesh-522002.",522002,AP
0021,HAP0021,Ahalyadevi Nursing Home,Andhra Pradesh,Nellore,"16-1-712, Near Nehru State, Trunk Road.",524003,AP
0022,HAP0022,Akira Eye Hospital,Andhra Pradesh,Eastgodavari,"Aryapuram,Rajahmundry",533104,AP
0023,HAP0023,Akshaya Care Multi Speciality Hospital,Andhra Pradesh,Secunderabad,"#11-3-267/13, Near Raghava Gardens, Madhura Nagar, Srinivasanagar, Parsigutta,",500061,AP
0024,HAP0024,Akshitha Hospitals,Andhra Pradesh,Shamshabad,"H.No.11-32/6,Mahavir Enclave Phase-Ii,Shashabad",501218,AP
0025,HAP0025,Alapati Nursing Home,Andhra Pradesh,Tenali,"Gopalreddy Street, Ganganammapet.",522201,AP
0026,HAP0026,Alluri Sitarama Raju Academy Of Medical Sciences,Andhra Pradesh,Eluru,"Malkapuram, Eluru Nh-5, Malkapuram.",534004,AP
0027,HAP0027,Alpha Super Speciality Hospital,Andhra Pradesh,Hyderabad,"23-1-863. Bsides Mch Swimming Pool, Moghalpura.",500024,AP
0028,HAP0028,Amar Orthopaedic Hospital,Andhra Pradesh,Guntur,"13-2-12, 1St Line Gunturuvari Thota, Guntur-522001",522001,AP
0029,HAP0029,Amaravathi Institute Of Medical Sciences Pvt Ltd,Andhra Pradesh,Guntur,"Old Club Road, Kothapeta.Oldclub Road Guntur",522001,AP
0030,HAP0030,Ambaa Hospitals,Andhra Pradesh,Hyderabad,"#9-1-29/23,Opp To Pratap Theatre,Lunger House",500008,AP
